TimeGenerated,EventSource,DeviceRef,DeviceId,Severity,EventDetail
2026-07-20T08:08:47Z,OT,hmi-scada-02,AST-005,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:09:04Z,IT,FIN-SVR-02,AST-003,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:09:21Z,IT,VPN-GW-01,AST-006,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:09:38Z,IT,WKS-JSMITH,AST-004,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:09:55Z,OT,hmi-scada-02,AST-005,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:10:12Z,IT,FIN-SVR-02,AST-003,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:10:29Z,OT,hmi-scada-02,AST-005,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:10:46Z,IT,DC01,AST-001,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:11:03Z,IT,VPN-GW-01,AST-006,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:11:20Z,OT,eng-ws-07,AST-008,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:11:37Z,IT,DC01,AST-001,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:11:54Z,IT,WKS-JSMITH,AST-004,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:12:11Z,IT,WKS-JSMITH,AST-004,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:12:28Z,IT,WKS-JSMITH,AST-004,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:12:45Z,IT,WEB-PROD-01,AST-007,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:13:02Z,OT,hmi-scada-02,AST-005,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:13:19Z,IT,VPN-GW-01,AST-006,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-20T08:13:36Z,IT,WEB-PROD-01,AST-007,Critical,Network flow alert (DDoS) dest_port=80 from historical CIC/ISCX capture Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
2026-07-21T08:00:17Z,OT,eng-ws-07,AST-008,High,Network flow alert (FTP-Patator) dest_port=80 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:00:34Z,IT,WKS-JSMITH,AST-004,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:00:51Z,IT,DC01,AST-001,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:01:08Z,OT,plc-reactor-01,AST-002,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:01:25Z,IT,DC01,AST-001,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:01:42Z,OT,eng-ws-07,AST-008,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:01:59Z,IT,FIN-SVR-02,AST-003,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:02:16Z,OT,hmi-scada-02,AST-005,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:02:33Z,IT,VPN-GW-01,AST-006,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:02:50Z,IT,VPN-GW-01,AST-006,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:03:07Z,IT,VPN-GW-01,AST-006,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:03:24Z,IT,DC01,AST-001,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:03:41Z,OT,hmi-scada-02,AST-005,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:03:58Z,OT,plc-reactor-01,AST-002,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:04:15Z,IT,FIN-SVR-02,AST-003,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:04:32Z,IT,DC01,AST-001,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:04:49Z,OT,hmi-scada-02,AST-005,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:05:06Z,OT,hmi-scada-02,AST-005,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:05:23Z,IT,FIN-SVR-02,AST-003,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:05:40Z,IT,WKS-JSMITH,AST-004,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:05:57Z,IT,VPN-GW-01,AST-006,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:06:14Z,IT,WKS-JSMITH,AST-004,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:06:31Z,IT,WEB-PROD-01,AST-007,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:06:48Z,IT,VPN-GW-01,AST-006,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:07:05Z,IT,FIN-SVR-02,AST-003,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:07:22Z,IT,DC01,AST-001,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:07:39Z,IT,WKS-JSMITH,AST-004,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:07:56Z,IT,FIN-SVR-02,AST-003,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:08:13Z,IT,WEB-PROD-01,AST-007,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:08:30Z,OT,eng-ws-07,AST-008,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:08:47Z,OT,eng-ws-07,AST-008,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:09:04Z,IT,WEB-PROD-01,AST-007,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:09:21Z,IT,FIN-SVR-02,AST-003,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:09:38Z,IT,DC01,AST-001,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:09:55Z,OT,plc-reactor-01,AST-002,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:10:12Z,IT,WKS-JSMITH,AST-004,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:10:29Z,IT,FIN-SVR-02,AST-003,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:10:46Z,IT,DC01,AST-001,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:11:03Z,IT,FIN-SVR-02,AST-003,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:11:20Z,OT,eng-ws-07,AST-008,High,Network flow alert (FTP-Patator) dest_port=21 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:11:37Z,OT,plc-reactor-01,AST-002,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:11:54Z,IT,VPN-GW-01,AST-006,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:12:11Z,OT,plc-reactor-01,AST-002,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:12:28Z,OT,plc-reactor-01,AST-002,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:12:45Z,OT,eng-ws-07,AST-008,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:13:02Z,IT,DC01,AST-001,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:13:19Z,IT,VPN-GW-01,AST-006,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:13:36Z,IT,WEB-PROD-01,AST-007,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:13:53Z,IT,WEB-PROD-01,AST-007,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:14:10Z,IT,DC01,AST-001,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:14:27Z,IT,VPN-GW-01,AST-006,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:14:44Z,IT,WEB-PROD-01,AST-007,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:15:01Z,IT,DC01,AST-001,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:15:18Z,IT,FIN-SVR-02,AST-003,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:15:35Z,IT,WKS-JSMITH,AST-004,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:15:52Z,IT,FIN-SVR-02,AST-003,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:16:09Z,OT,plc-reactor-01,AST-002,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:16:26Z,IT,WEB-PROD-01,AST-007,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:16:43Z,IT,WEB-PROD-01,AST-007,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:17:00Z,IT,VPN-GW-01,AST-006,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:17:17Z,IT,VPN-GW-01,AST-006,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:17:34Z,IT,WKS-JSMITH,AST-004,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:17:51Z,OT,eng-ws-07,AST-008,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:18:08Z,IT,VPN-GW-01,AST-006,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:18:25Z,OT,plc-reactor-01,AST-002,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:18:42Z,IT,WEB-PROD-01,AST-007,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:18:59Z,IT,VPN-GW-01,AST-006,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:19:16Z,IT,WEB-PROD-01,AST-007,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:19:33Z,IT,FIN-SVR-02,AST-003,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:19:50Z,IT,DC01,AST-001,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:20:07Z,IT,WEB-PROD-01,AST-007,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:20:24Z,OT,eng-ws-07,AST-008,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:20:41Z,OT,hmi-scada-02,AST-005,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:20:58Z,IT,WKS-JSMITH,AST-004,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:21:15Z,IT,VPN-GW-01,AST-006,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:21:32Z,OT,eng-ws-07,AST-008,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:21:49Z,OT,hmi-scada-02,AST-005,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:22:06Z,OT,hmi-scada-02,AST-005,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
2026-07-21T08:22:23Z,OT,hmi-scada-02,AST-005,High,Network flow alert (SSH-Patator) dest_port=22 from historical CIC/ISCX workbook Tuesday-WorkingHours.pcap1_ISCX.xlsx
